category,price,currency,price_1m2,title,address,floor,area,title_deed,repair,mortgage,url,room_number
Yeni tikili,147 000,AZN,1 400 AZN/m²,"Satılır 2 otaqlı yeni tikili 105 m², Həzi Aslanov q.",General Şıxlinski küç.,13 / 17,105 m²,var,,var,https://bina.az/items/3736259,2
Yeni tikili,221 000,AZN,1 910 AZN/m²,"Satılır 2 otaqlı yeni tikili 116 m², Nərimanov r.",Qarabağ küçəsi,4 / 11,116 m²,yoxdur,yoxdur,,https://bina.az/items/3866714,2
Yeni tikili,239 000,AZN,1 490 AZN/m²,"Satılır 3 otaqlı yeni tikili 160 m², Şah İsmayıl Xətai m.",Fəzail Bayramov küç,10 / 22,160 m²,var,yoxdur,var,https://bina.az/items/3866707,3
Yeni tikili,202 000,AZN,1 660 AZN/m²,"Satılır 3 otaqlı yeni tikili 122 m², Həzi Aslanov m.",Xudu Məmmədov küçəsi,10 / 18,122 m²,var,var,,https://bina.az/items/3834269,3
Yeni tikili,515 000,AZN,3 870 AZN/m²,"Satılır 3 otaqlı yeni tikili 133 m², Ağ şəhər q.",Süleyman Vəzirov küçəsi,4 / 7,133 m²,var,var,,https://bina.az/items/3866704,3
Köhnə tikili,225 000,AZN,3 210 AZN/m²,"Satılır 3 otaqlı köhnə tikili 70 m², Nəriman Nərimanov m.",Əhməd Rəcəbli küç,3 / 5,70 m²,var,var,,https://bina.az/items/3672009,3
Yeni tikili,205 000,AZN,2 110 AZN/m²,"Satılır 3 otaqlı yeni tikili 97 m², Memar Əcəmi m.",Asif Məhərrəmov küç 34,7 / 16,97 m²,var,var,,https://bina.az/items/3866705,3
Köhnə tikili,150 000,AZN,1 760 AZN/m²,"Satılır 3 otaqlı köhnə tikili 85 m², Xalqlar Dostluğu m.",Bəhruz Nuriyev küçəsi  21,5 / 9,85 m²,var,var,,https://bina.az/items/3866703,3
Yeni tikili,165 000,AZN,2 060 AZN/m²,"Satılır 2 otaqlı yeni tikili 80 m², Xalqlar Dostluğu m.",Məhəmməd Hadi küçəsi,7 / 12,80 m²,var,var,var,https://bina.az/items/3862233,2
Köhnə tikili,156 900,AZN,1 990 AZN/m²,"Satılır 3 otaqlı köhnə tikili 79 m², Xalqlar Dostluğu m.",Məhəmməd Hadi küçəsi,3 / 9,79 m²,var,var,,https://bina.az/items/3866700,3
Yeni tikili,165 000,AZN,2 060 AZN/m²,"Satılır 2 otaqlı yeni tikili 80 m², Xalqlar Dostluğu m.",Məhəmməd Hadi küçəsi,7 / 12,80 m²,var,var,var,https://bina.az/items/3858623,2
Köhnə tikili,125 000,AZN,1 890 AZN/m²,"Satılır 3 otaqlı köhnə tikili 66 m², Xətai r.",Cavanşir küçəsi,2 / 5,66 m²,yoxdur,var,,https://bina.az/items/3866698,3
Köhnə tikili,260 000,AZN,4 060 AZN/m²,"Satılır 2 otaqlı köhnə tikili 64 m², Sahil m.",Molla Vəli Vidadi 187,3 / 3,64 m²,var,var,var,https://bina.az/items/3866683,2
